screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment,partition,trust
amolinnovates,1,1,1,0,1,False,3,1,5,Twitter for iPhone,5,N0,3
gyanendra_swamy,0,1,1,1,1,False,9,4,0,Twitter for iPad,4,N0,3
MukulJo56655107,2,3,1,1,2,False,1,3,6,Twitter for Android,6,N0,3
Matters_India,1,0,1,2,3,False,0,0,0,WordPress.com,5,N0,3
Ashu25in,0,2,1,1,0,False,5,4,0,Twitter for Android,7,N0,3
Swachh_Mumbai,1,2,2,1,0,False,6,1,3,Twitter for Android,4,N0,3
secl_cil,2,0,1,1,1,False,8,2,3,Twitter Web Client,5,N0,3
lastride30,1,1,1,2,2,False,1,2,0,Twitter for Windows,5,N0,3
suman629,1,2,0,1,1,False,2,4,3,Twitter Web Client,6,N0,3
Ezioauditore21,2,0,1,1,2,False,2,3,4,Twitter for Android,4,N0,3
preetybharti1,1,3,2,1,0,False,8,4,4,Twitter for Android,6,N0,3
Sun_Krishna,1,1,1,3,1,False,0,0,0,Facebook,5,N0,3
madhavsamant,2,1,1,1,3,False,5,4,5,Twitter for iPhone,5,N0,3
rahulro13821912,1,4,1,2,3,False,4,3,0,Twitter for Android,6,N0,3
kantiAAP,1,3,1,2,1,False,9,2,0,TweetDeck,5,N0,3
dumbleman6,0,2,1,1,0,False,3,4,0,Twitter for iPhone,6,N0,3
radhi45451,1,2,0,1,1,False,4,1,4,Twitter for Android,4,N0,3
AtimanarjNews,1,0,1,1,0,False,0,0,3,Hootsuite,4,N0,3
annahiremath,2,1,1,1,2,False,4,1,3,Twitter Web Client,5,N0,3
sumitrawat_rwr,1,2,2,1,1,False,6,2,0,TweetDeck,5,N0,3
anshulrana_84,2,0,1,1,2,False,6,4,5,Twitter for Android,4,N0,3
Prashant_Swami,1,2,2,1,1,False,2,3,4,Twitter for Android,4,N0,3
mrityunjay242,1,0,1,0,4,False,8,4,0,Twitter for Android,6,N7,1
WriteWordsPress,2,1,1,1,3,False,3,4,3,Twitter Web Client,5,N0,3
Gopalak82004469,1,2,1,2,2,False,9,1,5,Twitter for Android,6,N0,3
Manika_Ninja,1,3,1,2,1,False,9,2,0,TweetDeck,5,N0,3
gg_deepak,2,1,1,1,3,False,1,4,0,Twitter for iPhone,6,N0,3
pratibha_kum,1,1,0,1,0,False,3,3,4,Twitter for Android,5,N7,1
Pra7ul,1,1,1,1,1,False,0,0,3,Google,7,N0,3
aapsiyashran15,0,0,1,1,0,False,2,3,3,Twitter for Android,5,N0,3
Dukhbirpagal,1,1,1,2,1,False,5,2,0,Twitter for iPhone,4,N0,3
nickitembo_RN,1,2,1,1,2,False,0,1,4,Twitter Web Client,4,N0,3
Anupal12345,1,2,0,1,1,False,7,4,0,Twitter for Android,7,N0,3
SandeepkNitt,1,3,1,0,2,False,4,4,5,Twitter for Android,5,N0,3
MANIKTAHLABHI,2,0,1,1,3,False,2,4,0,Twitter for iPad,5,N0,3
MUNIVBS,1,2,1,0,1,False,6,1,4,Twitter for Android,6,N0,3
papabetiparvati,1,2,1,2,0,False,9,4,6,Twitter for Android,6,N0,3
AneerudhNaik,0,0,1,1,1,False,8,3,0,Twitter for iPhone,5,N0,3
Aaman4u2003,1,1,0,1,2,False,4,2,3,Twitter for Android,6,N0,3
ShakeelAnwar4,1,1,0,1,1,False,6,3,3,Twitter for iPhone,5,N0,3
ilexsoc,2,0,1,1,3,False,8,4,3,Twitter for Android,4,N0,3
raviparkash108,1,3,1,2,0,False,2,2,0,Twitter for Android,6,N0,3
kautilyadutt,2,2,1,1,1,False,5,3,4,Twitter Web Client,5,N0,3
RT2Abhi,1,1,1,1,2,False,9,1,4,Twitter for iPhone,4,N0,3
geetaarora53160,1,2,1,3,0,False,9,4,0,Twitter for Android,7,N0,3
Vikas_Joshi,1,0,1,1,2,False,7,2,5,Twitter Web Client,5,N0,3
DVijaymane,0,1,1,0,1,False,7,4,0,Twitter for Android,5,N7,1
marlsuza,1,2,1,2,3,False,3,4,0,Twitter for iPhone,6,N0,3
avaneeshraju,1,0,1,1,0,False,0,0,4,Mobile Web (M2),5,N0,3
Dursety,1,1,0,1,2,False,4,3,4,Twitter for Android,6,N0,3
gyan_eshpatel,1,0,0,1,1,False,4,4,3,Twitter Web Client,5,N7,1
RabinDa45829394,1,4,1,1,3,False,0,0,3,Twitter for Android,4,N0,3
ceradevcera,1,1,1,2,2,False,6,1,5,Twitter for Android,4,N0,3
varunchoudhary2,2,2,1,1,1,False,4,3,0,Twitter for iPad,5,N0,3
aradhyarr,2,3,1,1,2,False,5,4,3,Twitter for Android,6,N0,3
MojiBadlani,1,1,1,3,0,False,9,4,0,Twitter for Android,7,N0,3
seeba_sasha,1,2,1,2,1,False,2,3,0,Mobile Web (M5),5,N0,3
malathy_sarovar,0,1,1,1,1,False,5,4,4,Twitter for iPhone,5,N0,3
sahebsrkfan,1,2,1,1,3,False,3,2,0,Twitter for Windows Phone,5,N0,3
yusufmehdi,1,0,1,1,0,False,7,3,3,Twitter for iPhone,6,N0,3
IKchandra,1,2,2,1,2,False,1,4,0,Twitter for Android,6,N0,3
vivekk92,1,0,1,0,1,False,6,0,5,Twitter for Android,5,N7,1
AroraShilpa6,1,1,0,1,1,False,9,2,0,Twitter for Android,7,N0,3
CramWood,1,0,1,1,2,False,2,4,4,TweetCaster for Android,4,N0,3
StarFizz_,1,2,1,1,3,False,4,1,5,Twitter Web Client,5,N0,3
agNishchay,1,3,1,2,2,False,3,4,3,Twitter for Android,6,N0,3
hiteshgoyal850,2,1,1,1,0,False,5,4,4,Twitter for Android,6,N0,3
udayj3000,1,4,1,2,0,False,8,4,0,Twitter for Android,4,N0,3
AnirChoudhury,0,2,1,1,1,False,0,3,3,Twitter for Android,5,N0,3
rambling_brook,2,1,1,1,3,False,2,4,0,Twitter for iPhone,5,N0,3
utterlybutterly,1,1,1,1,1,False,3,3,3,Twitter for Windows Phone,4,N0,3
dpatell19471,1,2,1,2,3,False,5,4,0,Mobile Web (M5),5,N0,3
manthankthakkar,1,0,1,1,2,False,0,0,4,Mobile Web (M5),5,N0,3
Priyans39943178,1,3,0,1,1,False,9,4,3,Twitter for Android,6,N0,3
sureshksharma07,1,1,1,0,2,False,6,4,0,Twitter for iPhone,4,N0,3
doegarjee,2,2,1,1,3,False,2,1,4,Twitter for Android,5,N0,3
HarwinderInsa2,1,2,1,2,2,False,4,1,0,Twitter for Android,6,N0,3
iritsharma,1,0,1,1,0,False,5,4,4,Twitter Web Client,6,N0,3
Brosisjodi,1,1,0,1,0,False,9,4,0,Twitter for Android,7,N0,3
Tejeswar96,1,2,1,2,1,False,3,3,3,Twitter for Android,4,N0,3
summersalsa,2,2,1,1,0,False,4,4,4,Twitter for iPhone,5,N0,3
jatrana_vikash,1,3,1,1,1,False,7,3,5,Twitter for Android,4,N0,3
sam11275,0,1,1,1,1,False,6,4,0,Twitter Web Client,6,N0,3
srikanthkonam,1,0,1,0,2,False,2,1,3,Twitter for Android,5,N7,1
anilkumar1012,1,1,1,1,1,False,0,0,3,Twitter for Windows Phone,5,N0,3
devang_mali,1,3,1,1,3,False,2,3,0,Twitter for iPhone,4,N0,3
drgugu1234,1,1,0,1,3,False,7,4,5,Twitter for Android,5,N0,3
VijaySinghBais2,2,2,1,1,2,False,4,1,3,Twitter for Android,5,N0,3
jyotipinky007,1,2,1,3,0,False,9,4,4,Twitter for Android,6,N0,3
Rajainsa8,0,2,1,1,0,False,8,4,0,Twitter for Android,7,N0,3
SarojInsa41,1,1,1,2,1,False,3,3,0,Twitter for Android,6,N0,3
TruthArrived,1,0,1,1,2,False,3,0,4,Twitter Web Client,5,N0,3
shuaibrehman,1,2,1,2,1,False,2,4,0,Twitter for iPhone,4,N0,3
jaythar,2,1,1,1,3,False,1,4,4,Twitter for Android,6,N0,3
achal_kumar,1,0,1,1,1,False,6,2,0,Hootsuite,5,N0,3
nikhilsince86,1,1,1,2,2,False,0,4,3,Twitter for iPhone,5,N0,3
HP8aa,1,2,1,1,0,False,2,3,3,Twitter for iPhone,4,N0,3
nancy77480407,1,2,0,1,1,False,9,4,5,Twitter for Android,6,N0,3
Nik4yu,2,1,1,1,3,False,2,3,3,Twitter for Android,5,N0,3
Durgesh2284,1,3,1,1,2,False,8,2,4,Twitter for Android,4,N0,3
jyoti777insan,0,2,1,1,0,False,9,4,0,Twitter for Android,7,N0,3
malaykmandal,1,0,1,0,1,False,4,4,0,Twitter for Android,6,N7,1
authorMohanty,1,2,1,1,2,False,2,0,5,Twitter Web Client,5,N0,3
pallav25121979,1,1,1,2,1,False,6,4,0,Facebook,5,N0,3
iamsuneelblr,2,2,1,1,3,False,5,4,4,Twitter for Android,6,N0,3
SharadBhansali,1,0,1,1,1,False,3,3,4,Twitter for iPhone,5,N0,3
Pranshakti_,1,1,1,1,2,False,4,3,0,Twitter Web Client,4,N0,3
sakthikumarv,1,2,1,1,2,False,3,2,3,Mobile Web (M5),5,N0,3
RajeevJindal15,1,1,0,1,1,False,8,4,3,Twitter for Android,6,N0,3
ShastriVimal,1,3,1,1,3,False,2,3,0,Mobile Web (M2),5,N0,3
REKALASHASHANKG,1,1,1,1,1,False,8,1,3,Twitter for Android,3,N0,3
PinderMaggu,0,3,1,1,0,False,3,4,0,Twitter for Android,6,N0,3
v_meeti,1,2,1,3,1,False,4,4,0,Twitter for Android,7,N0,3
madios24Tweets,1,2,1,1,2,False,5,2,5,Twitter for iPhone,5,N0,3
gopalpat23,1,4,1,0,1,False,2,4,3,Twitter for Android,5,N0,3
Hashtagwalla,1,2,1,2,3,False,6,4,0,Twitter for Android,6,N0,3
sawiant,1,1,1,1,1,False,9,0,4,Twitter for iPad,5,N0,3
pratikpupun,2,1,1,1,2,False,6,4,0,Twitter for Android,4,N0,3
TKumar,1,2,1,1,2,False,9,3,4,Twitter for iPhone,5,N0,3
harpreet55743,1,2,0,1,3,False,7,4,0,Twitter for Android,6,N0,3
teamrrg,1,3,1,1,4,False,2,3,5,Twitter for Android,5,N0,3
sidzaman093,1,1,1,1,1,False,8,1,4,Twitter for iPhone,5,N0,3
BhatPannaga,0,2,1,1,0,False,2,3,0,Twitter for Android,6,N0,3
RakeshSingh1989,1,1,1,0,1,False,4,4,3,Twitter for Android,4,N0,3
KrishG71,1,3,1,1,1,False,3,4,0,Twitter Web Client,4,N0,3
Gagandeeps939Gs,1,4,1,1,2,False,1,4,3,Twitter for iPhone,5,N0,3
KingAfr48746438,1,2,1,0,3,False,5,4,3,Twitter for Android,6,N0,3
PRATIPSEN4,1,2,1,2,3,False,3,3,3,Twitter for Android,5,N0,3
IamaroonShah,2,3,1,1,2,False,4,4,4,Twitter for Android,5,N0,3
pradeepkapoor45,1,2,1,1,1,False,0,3,5,Twitter for iPhone,6,N0,3
aroycrony,1,2,0,1,1,False,2,4,0,Twitter for Android,7,N0,3
sumantharbi,1,3,1,1,2,False,7,3,0,Twitter for Android,3,N0,3
iamshabaan,0,1,1,1,1,False,5,3,4,Twitter for Android,5,N0,3
ErSumanInsa,1,2,1,2,0,False,9,4,0,Twitter for Android,6,N0,3
knishantmit,1,1,0,1,2,False,6,4,3,Twitter for Android,5,N0,3
hareshmakhija61,0,2,1,1,1,False,2,4,0,Twitter for iPhone,6,N0,3
chetanbadgujar,1,1,1,1,2,False,3,3,0,Twitter for Mac,5,N0,3
megovind75,1,0,1,1,0,False,5,4,4,Twitter for Android,4,N0,3
vivekpai01,1,2,1,1,1,False,9,2,3,Twitter for iPhone,5,N0,3
prieyeranjanjgd,1,1,1,1,3,False,4,1,3,Twitter for Android,5,N0,3
vijaykumar24527,1,3,1,1,2,False,8,3,6,Twitter for Android,6,N0,3
Ats72k,1,2,0,1,1,False,8,4,0,Twitter for iPhone,5,N0,3
aniljug,1,2,1,2,2,False,2,4,0,Twitter for Android,3,N0,3
kumarvijayjoshi,1,3,1,1,1,False,7,3,3,Twitter for Android,4,N0,3
ssc11992,0,2,1,1,1,False,1,4,0,Twitter for Android,7,N0,3
caniravkaria,1,2,1,1,2,False,0,0,5,Twitter for Android,6,N0,3
HarsHVKarn,1,1,1,0,1,False,2,4,6,Twitter for Android,5,N0,3
prabhugunasekar,1,1,1,1,3,False,3,4,4,Twitter for iPhone,5,N0,3
shravan9848761,1,3,1,1,2,False,8,4,0,Twitter Web Client,6,N0,3
sufimastaan,1,2,1,1,4,False,5,2,3,Twitter for Android,5,N0,3
mrunwal,1,2,1,1,1,False,4,3,4,Twitter Web Client,5,N0,3
maroliwala,1,1,1,1,2,False,7,1,3,Twitter for Android,6,N0,3
sarvaiyanirav7,0,2,1,1,2,False,4,4,0,Twitter for iPhone,5,N0,3
smnaveen24,1,4,1,1,1,False,2,1,5,Twitter for Android,5,N0,3
krishanrogla,1,2,1,3,1,False,7,4,0,Twitter for Android,6,N0,3
mallick_hemant,0,2,1,1,1,False,4,4,0,Twitter for Android,7,N0,3
maneshmadhu,1,3,1,1,2,False,9,3,5,Twitter for Android,5,N0,3
ranjit8144,1,1,1,1,0,False,2,4,3,Twitter for Android,4,N0,3
maksai,1,2,1,1,1,False,1,0,0,None,5,N0,3
reyaz3609,1,3,1,1,3,False,1,4,3,Twitter for Android,6,N0,3
akshansh0111,1,1,1,1,2,False,5,4,4,Twitter for Android,7,N0,3
saandikacka,1,2,1,1,2,False,2,2,0,Twitter for iPhone,5,N0,3
cholavarisu,1,2,1,1,3,False,0,1,3,Twitter for Android,6,N0,3
MNadkarni,1,1,1,1,1,False,0,4,0,Twitter for iPhone,6,N0,3
_RakeshDey,1,4,1,1,2,False,6,4,6,Twitter for Android,5,N0,3
maneeshs15,1,2,1,1,1,False,4,2,4,Twitter for Android,4,N0,3
vdrarsr,1,2,1,1,1,False,2,3,0,Twitter Web Client,5,N0,3
Barun_kunwar,1,2,1,1,3,False,7,0,5,Twitter for Android,5,N0,3
grv_chdhry,1,1,1,1,2,False,6,4,5,Twitter for Android,4,N0,3
varhadizatka,1,3,1,1,1,False,2,1,5,Twitter for Android,5,N0,3
agsrikrishna,1,2,1,1,3,False,5,4,3,Twitter for Android,4,N0,3
mahanadicoal,1,1,1,1,1,False,2,3,4,Twitter for Android,6,N0,3
ramp1234098,1,1,1,1,2,False,2,4,0,Twitter for Android,7,N0,3
sam4kukreja,1,2,1,1,1,False,6,3,6,Twitter for Android,6,N0,3
rksarojdas,1,1,1,1,1,False,2,2,3,Twitter for Android,6,N0,3
Rkrajasthan,1,2,1,1,2,False,8,4,4,Twitter for Android,5,N0,3
JaikishanPrata5,1,2,1,1,3,False,6,4,0,Twitter for Android,6,N0,3
isushilsingh,1,2,1,1,1,False,8,1,5,Twitter for Android,5,N0,3
denrokr,1,2,1,1,2,False,2,3,3,Twitter for Android,4,N0,3
iamNaeem05,1,2,1,1,2,False,7,4,4,Twitter for Android,6,N0,3
iAnujPrajapati,1,1,1,1,2,False,2,4,4,Twitter for Android,5,N0,3
imronyveer,1,2,1,1,1,False,4,4,0,Twitter for Android,6,N0,3
ankitchoradia,1,2,1,1,2,False,2,4,4,Twitter for Android,5,N0,3
Shivkum64225738,0,0,0,0,0,False,0,4,0,Mobile Web (M2),8,N7,1
PeoplesGovIN,0,0,1,1,0,False,8,4,3,Link account with KUKU.io,6,N0,3
LalitKumarDas33,0,0,0,0,0,False,0,0,0,Mobile Web (M2),8,N7,1
Kuldip2002,0,0,0,0,1,False,0,0,6,Twitter for Android,1,N7,1
OmVinayakgas1,1,1,0,0,1,False,3,1,6,Twitter for iPhone,7,N7,1
thangarajscea,0,1,0,1,1,False,4,0,3,Twitter for Android,2,N7,1
KentGrayson,1,1,1,0,0,False,1,0,6,TweetDeck,7,N7,1
jsshastri1,4,0,1,1,4,False,0,0,5,Twitter Web Client,8,N2,7
travadiz,3,4,4,4,1,False,2,0,3,Google,7,N2,7
techto_know,3,1,0,0,4,False,0,0,6,Facebook,5,N7,1
samskruta,2,2,3,3,3,False,5,2,4,Twitter for iPad,4,N1,4
ChampakTeli,2,3,2,2,2,False,9,3,4,TweetDeck,4,N1,4
Chethboy,1,3,2,2,2,False,6,4,5,Twitter for iPhone,6,N1,4
rishu5171,4,3,3,3,4,False,2,3,0,Mobile Web (M5),3,N2,7
Pratima944,1,2,3,4,0,False,8,2,0,GrabInbox,6,N9,2
knowAguyapp,2,0,4,2,3,False,3,1,0,Knowaguyapp,4,N1,4
CKVignesh_,2,4,2,1,1,False,7,1,5,Twitter for Android,5,N1,4
intelliretail,3,0,4,3,0,False,4,0,4,dlvr.it,6,N10,5
snehsingh1991,3,1,1,1,4,False,4,0,5,Statusbrew,5,N10,5
niprsaka,1,4,2,3,1,False,2,3,3,Twitter Web Client,4,N1,4
spreadigital,3,2,1,0,3,False,0,0,6,Put your button on any page! ,5,N10,5
LalCharanjit,2,4,0,2,2,False,1,2,3,Twitter for Android,5,N1,4
venkat572,0,1,3,3,1,False,7,2,0,TweetDeck,6,N9,2
rahulkasare1,1,3,2,2,3,False,6,4,4,Twitter for Android,4,N1,4
RefugeeBluesKP,2,2,3,2,2,False,5,2,5,Twitter for iPhone,3,N1,4
princekohli25,2,3,2,4,0,False,9,1,0,Twitter for Android,7,N1,4
vvplsg,2,0,4,4,0,False,3,0,0,IFTTT,6,N2,7
advsansehrawat,2,1,1,1,4,False,7,3,5,Facebook,4,N0,3
ModdedApks,4,2,3,2,4,False,0,0,4,dlvr.it,6,N2,7
mg_capital,3,0,4,1,4,False,5,0,4,Hootsuite,5,N10,5
VikasKaSipahi,1,1,2,3,1,False,2,3,3,Twitter for Android,4,N0,3
csharitha,3,2,1,2,2,False,6,3,6,Twitter Web Client,5,N10,5
Fromroshan,2,4,4,4,2,False,1,1,3,Twitter for iPhone,5,N2,7
lousybug,1,4,2,3,3,False,7,2,0,Twitter for Windows Phone,4,N1,4
shounak_d,1,1,3,3,1,False,2,1,4,TweetDeck,4,N0,3
AnkitSi83514178,1,4,2,2,3,False,4,4,5,Twitter for Android,6,N0,3
RamaSevak,2,3,0,2,1,False,0,2,6,Twitter for Android,5,N7,1
wfhInd,2,0,4,4,0,False,8,0,0,IFTTT,4,N2,7
tkarun,3,0,3,1,0,False,3,0,5,Facebook,5,N10,5
SandeepKulsh,4,1,3,2,4,False,5,0,4,Put your button on any page! ,6,N2,7
myeglu,3,0,2,0,4,False,7,0,5,IFTTT,6,N7,1
tvrkishore,2,3,1,1,2,False,8,3,0,Twitter for iPhone,4,N0,3
samskarebyaha,1,2,1,2,3,False,6,3,4,Twitter Web Client,4,N0,3
Marie____Taylor,3,0,4,4,2,False,5,0,3,dlvr.it,5,N2,7
vachchhani,2,4,2,3,2,False,9,1,6,TweetDeck,4,N1,4
mvjagannath,2,2,3,3,1,False,4,2,0,Falcon Pro 2015,5,N1,4
AmitJain2612,1,1,2,2,3,False,3,1,5,Twitter Web Client,5,N1,4
abrilliantdummy,2,2,2,3,1,False,2,2,6,Twitter for Android,6,N1,4
NavenduTomar,0,2,2,2,0,False,0,4,0,Twitter for iPhone,4,N1,4
AndroidINForum,3,0,4,4,0,False,9,0,4,dlvr.it,5,N2,7
thevaibhavag1,4,0,3,2,4,False,4,0,5,Facebook,6,N2,7
Vasuphani,2,3,1,2,4,False,7,2,3,Twitter for Android,6,N1,4
Tushardwivedi81,2,1,1,1,3,False,1,4,0,Twitter for iPhone,4,N0,3
awwlsee,1,3,3,2,0,False,0,3,4,Mobile Web (M5),5,N1,4
Udit_Eco,3,2,4,4,2,False,5,0,4,IFTTT,5,N10,5
CollapseBlogs,3,1,2,0,2,False,2,0,6,Twitter Web Client,4,N10,5
prithviatul,2,4,1,1,3,False,8,3,5,Twitter for Android,4,N0,3
pagal_prem,2,3,4,3,1,False,3,1,3,IFTTT,5,N1,4
anadi1984,1,2,2,3,2,False,7,3,0,Twitter for Windows,4,N1,4
mitra_1709,0,1,3,2,0,False,6,2,0,TweetDeck,5,N6,6
PramodSaxena10,2,0,2,1,1,False,3,2,6,Twitter for iPhone,6,N1,4
MumbaiInsider,3,0,4,4,1,False,4,0,5,dlvr.it,5,N2,7
MidnightHourSho,3,0,2,2,4,False,0,0,3,Airtime Pro,6,N10,5
jannewyork,2,1,1,1,3,False,1,1,0,Twitter Web Client,4,N0,3
anjali_talwar1,2,4,2,4,0,False,9,4,4,Twitter for Android,6,N1,4
pshunglu,4,2,3,2,2,False,4,3,4,Twitter Web Client,4,N2,7
good_assurance,1,0,3,3,2,False,5,0,3,Good asurance,5,N7,1
neerajcsa,1,3,1,2,3,False,6,4,0,Twitter for iPhone,4,N0,3
gzstrategy,3,2,4,2,4,False,2,1,4,Integromat,5,N10,5
mgshetty,1,3,2,3,2,False,8,4,5,Twitter for Android,4,N0,3
Kuvam707,0,1,3,2,0,False,6,2,0,TweetDeck,5,N6,6
arvind_now,2,1,3,1,1,False,3,2,5,Mobile Web (M5),5,N1,4
Brociall881,2,0,4,3,0,False,4,0,5,SocialCloudSuite,6,N7,1
magberrymag,3,0,2,0,4,False,2,0,3,Google,5,N7,1
Csoumya21,2,1,1,1,4,False,1,3,0,Twitter Web Client,4,N0,3
KrishanRamInsan,2,3,2,4,3,False,9,2,5,Twitter for Android,6,N1,4
vsvadivelfca,3,2,2,2,0,False,0,0,6,Twitter Web Client,7,N10,5
10anandrai,2,4,3,4,2,False,7,1,3,Twitter for Android,4,N2,7
IronHeet,1,3,1,2,1,False,9,3,0,TweetDeck,4,N0,3
residualbitcoin,3,0,4,4,0,False,5,0,4,IFTTT,5,N2,7
RSTVA,1,2,2,3,3,False,1,3,0,Twitter for iPhone,4,N1,4
frederikro,2,4,4,2,2,False,6,4,4,Tweetbot for iΟS,5,N1,4
dwivedimk_ias,4,2,2,2,1,False,6,2,5,Twitter for iPhone,5,N1,4
bmemail_India,3,1,4,1,2,False,4,0,5,Twitter Web Client,6,N10,5
NewsStoryIndia,4,2,3,3,0,False,0,0,3,dlvr.it,4,N2,7
talasilavsagar,2,1,3,3,4,False,3,2,0,Mobile Web (M5),5,N1,4
lalittiwari744,2,3,1,1,3,False,8,2,5,Twitter for Android,5,N0,3
_backlink_,3,0,4,2,1,False,7,1,0,BacklinkBot,6,N10,5
CYgamerz,2,3,2,0,4,False,5,1,0,games.sinner666,4,N1,4
ArpanGami,2,4,2,2,2,False,9,3,6,TweetDeck,4,N1,4
common_man88,1,3,3,4,1,False,5,0,3,IFTTT,5,N2,7
janak64,3,0,2,3,3,False,0,0,4,Facebook,4,N10,5
jaggu916,2,4,4,4,2,False,2,3,0,Twitter Web Client,6,N2,7
sumanthkatti,1,2,2,2,0,False,7,1,4,Twitter for iPhone,5,N1,4
insuratinfo,3,1,4,2,0,False,8,3,5,Scoop.it,5,N10,5
BKSyngal,3,0,1,1,2,False,0,0,5,Twitter for iPhone,4,N10,5
way2ranga,2,1,2,3,2,False,1,4,3,Twitter for Android,6,N1,4
anupamk8,2,2,1,1,3,False,3,4,0,Twitter Web Client,5,N0,3
Odishanews360,3,1,3,2,1,False,7,0,5,Twitter Web Client,3,N10,5
gurudaspai,1,3,2,1,4,False,4,2,4,Twitter for iPhone,5,N0,3
dhanikpanchal,2,4,2,2,1,False,9,1,6,TweetDeck,4,N1,4
TadiparShah,1,3,3,2,0,False,6,3,0,TweetDeck,4,N1,4
socialnews_xyz,3,0,4,4,3,False,4,0,0,Facebook,4,N2,7
coolraj82,2,4,4,3,1,False,5,2,3,Twitter for Android,4,N2,7
Mugavarii,4,3,2,3,2,False,0,0,4,Twitter Web Client,6,N2,7
chmurali1946,1,0,3,2,0,False,3,3,0,Twitter for Windows Phone,5,N0,3
Aranca_BR,3,2,4,1,3,False,5,0,5,HubSpot,5,N10,5
Bis_Sandeep,2,1,3,4,2,False,6,0,3,IFTTT,6,N1,4
crazyyog,2,2,1,2,3,False,8,4,0,Twitter for iPhone,6,N0,3
rajanmahan,3,1,2,1,2,False,7,1,6,Twitter Web Client,5,N10,5
im_Priyanshu,2,1,1,2,4,False,3,3,5,Mobile Web (M2),5,N1,4
BajajHansal,2,4,2,3,1,False,9,1,4,TweetDeck,4,N1,4
DeMODItisation,1,3,2,2,0,False,2,3,0,TweetDeck,4,N1,4
OfficialFinsr,3,0,3,4,2,False,4,0,3,Google,5,N10,5
blueredoran,1,2,2,3,3,False,0,2,3,Twitter for Android,4,N0,3
swight,2,3,4,2,4,False,6,4,4,Twitter for Android,4,N1,4
VickymuirMuir,1,0,4,3,0,False,4,0,5,Hootsuite,5,N7,1
sundeepa,2,0,3,1,1,False,5,3,0,TweetCaster for Android,5,N1,4
RoltaTech,3,2,4,2,4,False,3,0,5,Hootsuite,6,N10,5
k_vilayati,0,2,1,2,2,False,0,2,0,Twitter for iPhone,4,N1,4
vijaydesikan,3,1,2,1,3,False,5,0,4,Facebook,5,N10,5
YogaSamkhya,2,3,3,2,2,False,8,4,6,Twitter for Android,6,N1,4
TheSuman,2,1,1,3,0,False,7,3,4,Twitter Web Client,4,N1,4
Chikhlia_,2,4,2,2,1,False,9,1,6,TweetDeck,4,N1,4
pri1us,1,1,3,4,1,False,4,3,0,TweetDeck,5,N0,3
Ajeeb_Daastaan,3,3,2,4,3,False,2,0,3,Mobile Web (M5),4,N10,5
israramrelia,2,4,4,3,2,False,3,4,3,Twitter for Android,5,N2,7
GamesPlayOnline,1,1,4,3,0,False,7,0,5,IFTTT,5,N2,7
leadsbot,2,2,4,1,3,False,5,1,0,www.leadsrobot.co,5,N1,4
gameboop,3,0,4,2,4,False,6,0,4,dlvr.it,4,N10,5
avooj,1,2,2,2,2,False,0,2,5,Twitter for iPad,4,N1,4
Choudhary_Ji_,2,3,1,1,3,False,2,2,4,Twitter for iPhone,5,N0,3
ebeen_m,1,4,2,2,1,False,4,2,0,Twitter for Android,6,N0,3
choeku_jack,2,0,3,4,0,False,0,0,4,Google,4,N7,1
srsekharbjp,3,2,2,2,3,False,3,1,6,Put your button on any page! ,4,N10,5
BJPTamilNaduFC,2,1,3,3,1,False,9,4,0,TweetDeck,5,N1,4
toi_jayashreeN,3,1,2,1,2,False,2,3,5,Twitter Web Client,4,N10,5
InsaaShilpy,2,3,2,3,0,False,9,4,3,Twitter for Android,6,N1,4
VisvyaMedia,2,0,4,4,0,False,5,0,3,IFTTT,5,N2,7
tanwar_gas,1,3,1,2,2,False,8,3,0,Twitter for iPhone,5,N0,3
SeemabAhmed5,3,4,1,2,4,False,1,0,4,Put your button on any page! ,5,N10,5
bewithswami,1,2,1,2,3,False,7,2,3,Twitter Web Client,4,N0,3
AmaranteConsult,2,2,4,1,4,False,3,0,4,Twitter for iPhone,6,N2,7
Zoheb_Sh,4,1,2,2,2,False,6,2,0,TweetDeck,5,N1,4
BellaSharma,2,0,3,4,0,False,0,0,0,dlvr.it,4,N1,4
dr_madindian,2,3,2,3,1,False,0,1,5,Mobile Web (M5),4,N1,4
thekavitasharma,3,2,2,2,1,False,4,1,6,Twitter for Android,5,N10,5
Americana777,2,4,4,4,3,False,2,3,0,Twitter Web Client,4,N2,7
izotope86,2,1,2,1,3,False,3,4,4,Twitter for Android,4,N1,4
univartaindia,3,0,4,3,0,False,3,0,3,TweetDeck,5,N10,5
Gurmeet63880094,2,3,1,3,2,False,5,4,0,Twitter for Android,6,N0,3
PDQMachines,3,1,4,2,4,False,8,0,5,Buffer,5,N10,5
vinayjha_jsr,1,3,1,2,2,False,6,2,4,Twitter Web Client,5,N0,3
tapasije,2,2,3,1,3,False,5,3,4,Twitter for iPhone,5,N1,4
AreuMyB1tch,1,4,2,2,2,False,1,3,5,Twitter for iPhone,4,N1,4
andrebuklaw,3,0,4,4,0,False,7,0,0,IFTTT,4,N2,7
samsher_gurgaon,2,2,3,4,1,False,9,1,0,realestatexp3,4,N1,4
yaabot,2,1,3,2,1,False,4,1,3,Hootsuite,5,N1,4
