screen_name,u_fol,u_fav,u_lis,u_sta,u_fri,ver,hash_freq,avg_ret,avg_fav,source,sentiment
naimul_84,257,2298,26,22495,306,False,2.0,0.0,0.0,IFTTT,4
nandaji1958,94,9857,7,1785,383,False,-1,3.9,2.9,Twitter for Android,5
vikneshmadurai,104,11,1,1343,244,False,16.925,0.25,0.55,Twitter Web Client,5
WithCongAssamNE,1159,134,13,16874,183,False,73.0,0.55,1.05,IFTTT,4
27_priyaanka,273,6550,12,5641,89,False,515.2222222222222,27.05,0.0,TweetDeck,5
BaijayantiNaya4,14,1130,3,37,65,False,18.555555555555557,1247.3,0.25,Twitter for Android,7
saandikacka,76,1170,5,676,211,False,5.857142857142857,96.25,0.0,Twitter for iPhone,5
ghanendra,380,167,8,4141,574,False,82.66666666666667,21.65,0.05,Twitter for Android,4
azpat0,4906,2085,251,73890,4961,False,-1,0.0,0.0,Google,7
PonnaarrBJP,34663,4509,175,5744,348,True,4.0,16.7,40.0,Twitter for iPad,5
jaiodishanews,7,2,2,1,60,False,42.0,12.0,0.0,Twitter for Android,5
Deepak7382,3012,4331,27,9745,184,False,103.0,39.55,0.0,Twitter for iPhone,4
AbdheshChaudha5,3,6,0,5,50,False,1.0,355.0,0.0,Twitter for Android,4
PratyushKanth,1641,978,6,850,147,True,17.666666666666668,507.3,1.5,Twitter for iPhone,5
rebelchawla,39,5061,7,4509,146,False,477.0,26.35,0.0,TweetDeck,4
mukkumar971,0,2,0,77,52,False,-1,0.0,0.1,Twitter Web Client,5
YuvarajBJP,42,974,2,315,73,False,8.0,0.0,0.0,Twitter for Android,5
MaliVihaar,379,8944,14,7646,260,False,464.9,29.95,0.0,TweetDeck,5
aapkarauf,418,846,18,6995,733,False,563.0,4.0,1.55,Twitter for Android,5
nik_manch,36,71,0,22,56,False,1.5,464.8,0.05,Twitter for Android,5
srikanthkonam,121,30,6,358,167,False,3.875,8.7,0.05,Twitter for Android,5
Salman_Shaikh9,3,171,1,684,133,False,1.0,37.4,0.0,Twitter for Android,5
AAPDelhi2020,19,909,5,427,93,False,127.65625,23.85,0.0,Twitter for Android,4
AAPGujarat2017,18,985,5,543,57,False,133.81967213114754,21.9,0.0,Twitter for Android,4
akhileshankhwar,965,25979,44,30529,799,False,136.89655172413794,22.2,0.0,Twitter for Android,4
amiteshdubey,425,6623,28,19470,114,False,85.77777777777777,22.4,0.3,Twitter for Android,5
BspUp2019,382,4272,16,4621,84,False,136.89655172413794,22.2,0.0,Twitter for Android,4
Dr_AnilPatel,263,9489,15,9417,197,False,424.2,23.2,0.45,TweetDeck,5
anurag_goyal_1,61,8,0,33,43,False,5.333333333333333,68.55,0.2,Twitter for Android,5
BSP4Punjab,799,6787,18,10328,115,False,136.89655172413794,22.2,0.0,Twitter for Android,4
MayawatiUp,4210,8402,28,14364,176,False,138.15,31.95,0.0,Twitter for Android,4
brijeshbhatt212,9,1,0,169,61,False,14.4,0.05,0.25,Twitter for Android,5
kaarT00S,139,5693,7,9489,440,False,82.25,140.7,0.0,Twitter for Android,4
mpchalia,643,17430,33,24752,1240,False,50.11764705882353,22.25,0.05,Twitter for Android,5
nayak85hpn,95,5911,9,3783,154,False,8.545454545454545,147.95,0.0,Twitter for Android,5
GyanendraDash2,26,32,2,118,317,False,2.5454545454545454,27.05,0.15,Twitter Web Client,5
icesmith5,27,329,2,2694,6,False,108.83333333333333,86.95,0.0,Twitter for Android,5
ShabnamHashmi,4771,4149,48,11481,580,False,12.25,11.75,9.55,Twitter for Android,4
KayanKapadiya,315,6728,13,5707,296,False,380.0,40.7,0.3,TweetDeck,5
ParasKGhelani,2092,27289,76,33997,4573,False,20.352941176470587,101.4,0.95,Twitter for Android,3
Sumitonly4D,148,1068,10,11793,475,False,17.25,273.95,0.0,Twitter for Android,5
mallikgn,697,38,12,10636,2063,False,1.0,0.0,0.0,Facebook,4
49Kintu,379,21638,27,20513,324,False,458.09090909090907,32.75,0.2,49Kintu,5
RutvikSubhedar,3461,85607,180,169240,304,False,161.5,77.35,0.0,Twitter for Android,5
BJP4TIRUNELVELI,118,237,0,304,20,False,24.8125,20.8,1.2,Twitter for Android,5
RakeshGupta09,188,4044,25,22397,310,False,84.0,205.7,0.0,Mobile Web (M5),4
TVSNext,12548,6286,7347,295525,4942,False,56.1,8.15,0.0,RoundTeam,5
mike921112,389,10899,60,25803,68,False,78.7,37.45,0.35,Twitter for iPhone,5
nazrah,407,161,110,67817,469,False,71.58333333333333,114.2,0.0,Twitter for iPhone,3
Ajayksha,330,8475,11,7246,266,False,393.8,49.45,0.6,TweetDeck,4
Akshaysinghel,4299,17234,37,26744,1128,False,84.0,35.85,0.1,Twitter for Android,5
rohitg_mba,45,269,11,364,232,False,12.454545454545455,75.35,0.0,Twitter for Android,5
Maratha_Nashik,35,2215,0,587,75,False,3.0,6410.3,0.6,Twitter for Android,4
Prabhat18Tyagi,10,42,0,65,12,False,6.230769230769231,645.9,0.45,Twitter for Android,6
PassiveVoice2,120,7248,9,7755,111,False,-1,44.3,0.0,Twitter Web Client,5
sabrangindia,1735,12,33,5260,161,False,-1,10.35,8.85,Twitter Web Client,3
pancharia98250,299,4228,12,4092,423,False,33.81481481481482,112.9,0.4,Twitter for Android,4
NeetuGarg6,16719,11753,81,24165,493,False,142.22222222222223,35.55,4.8,Twitter for Android,6
HARISHA95563680,2,0,0,32,36,False,16.2,0.05,0.1,Twitter for Android,6
td_das,46,349,2,302,598,False,9.25,598.75,0.05,Twitter for Windows Phone,5
RufiNighat,215,21878,75,28127,74,False,23.363636363636363,15.25,0.0,Twitter for Android,4
SuryaGoud14,4,127,0,191,5,False,2.272727272727273,47.0,0.0,Twitter for Android,5
REKALASHASHANKG,101,285,6,1776,85,False,104.27272727272727,18.5,0.05,Twitter for Android,3
ramrayster,748,2003,31,114470,222,False,25.3,4.65,0.25,Twitter for Android,5
tridibEARTH,173,1376,11,2860,485,False,25.384615384615383,364.05,0.3,Twitter for Android,5
VijayMi35538594,283,3777,25,4825,1515,False,23.6,122.1,0.1,Twitter for Android,5
amitdhankard,63,4021,15,3832,260,False,83.17647058823529,20.55,0.0,Twitter for Android,5
MajidMalim,25,32,1,1423,47,False,34.5,0.0,0.0,Twitter for Android,4
dipakIYC,1610,50592,30,37352,579,False,26.0,521.05,0.4,Twitter for Android,4
anantpuja,115,10777,24,14211,384,False,3.0,152.65,0.0,Twitter Web Client,4
JoshiRakesh2004,1837,165062,211,236573,1779,False,74.0,163.6,0.0,Twitter for iPhone,5
innova_scape,4275,474,7317,405166,51,False,33.69230769230769,0.35,0.35,IFTTT,5
twisted4fun,175,21338,148,71136,100,False,134.83333333333334,490.65,0.0,Twitter Web Client,4
kaushaldubey38,1731,6162,29,23063,152,False,78.0,116.5,0.6,Twitter for Android,4
PritishThakare,1631,5028,24,14806,2284,False,47.75,253.2,0.0,Twitter for Android,4
gopincc,171,3647,34,14974,134,False,94.55555555555556,121.05263157894737,0.0,Twitter for Android,3
ariffeen,819,149,7,5191,1711,False,5.2,128.8,0.0,Twitter for iPhone,5
rp007_2001,102,2450,3,3534,231,False,65.18181818181819,86.55,0.0,Twitter for Android,5
ec7630fb48794c5,204,237,0,377,509,False,18.25,260.6,0.9,Twitter for Android,5
vasupapa,166,47,4,159,90,False,130.83333333333334,1.0,0.65,Twitter for Android,5
shravan9848761,43,3168,5,1350,222,False,91.5,1459.55,0.0,Twitter Web Client,6
CricfreakTweets,670,311,19,8636,646,False,16.476190476190474,72.7,1.45,Twitter Web Client,6
RitikaaaaDas,210,1405,6,3548,333,False,8.818181818181818,7.5,0.0,Twitter Web Client,5
Kamallochan1982,3435,656,21,19744,2641,False,112.375,166.5,0.15,Twitter for iPhone,5
Dib_Speaks,240,6714,23,19885,82,False,12.214285714285714,149.3,0.05,Twitter for Android,5
KilaFateh,12054,45205,158,140031,707,False,97.14285714285714,56.0,0.05,Twitter for Android,5
BJP4ERODE,153,328,1,398,31,False,74.0,25.7,0.95,Twitter for Android,5
im_Priyanshu,358,108,2,6223,1010,False,7.25,170.15,0.6,Mobile Web (M2),5
theUnfading,475,11756,40,15862,198,False,100.81818181818181,23.4,0.4,Twitter Web Client,5
MukulKakadiya,323,6954,9,5930,220,False,393.1,82.25,0.0,TweetDeck,5
acharyaprakash,419,422,34,13460,1756,False,5.666666666666667,839.8,0.0,Twitter for Android,5
PramodSaini97,110,1682,6,7204,191,False,7.0,86.85,0.0,Twitter for Android,5
patellalji8,344,8637,8,7390,338,False,465.27272727272725,30.3,0.05,TweetDeck,4
AkashNawghare2,117,1337,0,580,240,False,54.857142857142854,669.6,0.0,Twitter for Android,5
IKaransharma27,17689,8520,50,23095,570,False,7.375,63.1,4.05,Twitter for Android,4
BJP4KANYAKUMARI,167,709,1,873,59,False,24.428571428571427,5.6,0.2,Twitter for Android,5
500Urvashi,5748,80772,73,90821,869,False,7.0,96.05,0.0,Twitter for iPhone,4
DeepakAKothiyal,4470,11117,27,23492,4943,False,41.0,108.26315789473684,0.10526315789473684,Twitter for Android,5
SharikINC,2029,191,45,19382,734,False,67.5,108.75,0.0,Twitter Web Client,4
2see79,157,450,17,12460,13,False,55.142857142857146,88.55,1.0,Twitter for iPhone,5
narendrapjoshi,2070,158430,185,216836,1741,False,33.333333333333336,103.4,0.8,Twitter for Android,4
neerangautam,426,1639,9,3829,264,False,40.25,22.65,0.65,Twitter for iPhone,5
aaprajesh10,225,8025,11,6734,151,False,511.4,38.3,0.3,TweetDeck,4
sunil_iyc,575,688,18,32097,97,False,124.16666666666667,75.55,0.0,Twitter for Android,4
MrsGundhi,33,2105,9,2700,3,False,2.5,223.31578947368422,0.0,TweetDeck,4
ShreyashBothra,128,6614,40,11582,38,False,37.77777777777778,269.45,0.0,TweetDeck,4
TadiparShah,89,3944,23,5873,18,False,37.77777777777778,267.6,0.0,TweetDeck,4
rupasubramaniac,108,6642,32,11474,36,False,37.77777777777778,269.45,0.0,TweetDeck,4
INC_Avengers,53,4074,20,5824,18,False,33.18181818181818,273.8,0.0,TweetDeck,4
DalitRamsingh,121,7051,31,12038,69,False,36.0,252.65,0.0,TweetDeck,4
DeMODItisation,38,2127,9,2748,3,False,2.5,223.31578947368422,0.0,TweetDeck,4
Arun_Jhootley,76,4074,19,5858,19,False,21.25,166.0,0.0,TweetDeck,5
Divine_Bliss,930,34121,66,46553,115,False,10.333333333333334,41.9,0.0,TweetDeck,4
TheTweet0fIndia,445,694,18,2729,583,False,17.805555555555557,1955.6,2.5,Twitter for iPhone,4
Aadil_Ikram,304,54,9,1742,468,False,15.23076923076923,80.95,0.0,Twitter for iPhone,5
arvsurana,6,4,0,33,7,False,-1,2.0,0.0,Mobile Web (M5),5
retheeshraj10,938,37388,156,115360,891,False,90.0,54.1,0.05,Twitter for Android,4
NH_India,10226,33,29,519,65,False,20.192307692307693,25.95,23.25,TweetDeck,5
indiacom,6332,225,241,97267,170,False,17.41176470588235,0.0,0.15,Hootsuite,4
shubhamamdhare,1535,8884,46,43036,857,False,20.625,338.75,0.0,Twitter for Android,5
gurupreets,487,752,11,10364,87,False,93.92307692307692,58.6,0.0,Twitter for Android,5
TNBJPITCELL,677,385,6,207,32,False,10.0,197.5,4.15,Twitter for Android,5
Zoheb_Sh,10190,122,8,7351,185,False,43.333333333333336,107.75,0.0,TweetDeck,5
WithCongress,95955,408,231,38748,237,False,73.0,41.55,2.15,TweetDeck,4
INCVolunteers,4707,92,22,18343,1370,False,39.27272727272727,78.8,0.0,TweetDeck,5
44_mitesh,412,22981,37,21199,309,False,436.42857142857144,31.75,0.9,44_mitesh,5
ahmedvindhani,351,19617,27,14674,144,False,38.42857142857143,116.5,0.0,Twitter for Android,3
mohnotgaurav18,18068,8856,89,41576,1055,False,56.27272727272727,15.85,8.4,Twitter for Android,5
bpanigrahi,253,322,44,14118,196,False,5.083333333333333,353.25,0.0,Twitter for iPhone,4
Neeraj_Panday_,104,4118,19,5326,503,False,145.6,416.5,0.0,Twitter for Android,5
Punitspeaks,1984,6549,93,70139,293,False,62.166666666666664,101.5,0.1,Twitter Web Client,6
murugadass_bjp,1585,21,607,620,1383,False,128.0,17.0,0.0,Twitter for Android,5
jagdisHpatelJP,258,7323,37,8534,66,False,109.14285714285714,1.05,0.0,Twitter for Android,5
SamWit_Wicky,434,30759,50,40926,261,False,35.666666666666664,399.5,0.0,Twitter for Android,4
Patriot84032974,228,7348,16,14971,253,False,104.4,205.65,0.0,Twitter for Android,5
Santosh91012017,125,3741,35,3735,218,False,3.0,68.75,0.0,Twitter for Android,6
dillipkumarbjp,688,1593,8,2501,691,False,37.333333333333336,181.0,0.75,Twitter for Android,5
HarsHVKarn,63,37,5,116,112,False,2.1666666666666665,675.6,2.5,Twitter for Android,5
ExposeLiesToYou,1277,5551,28,11147,1990,False,16.375,293.6,0.1,Twitter Web Client,5
benistonj,315,206,13,1427,1116,False,8.89655172413793,365.35,0.2,Twitter for Android,6
ramsut07,100,1339,4,2568,28,False,4.428571428571429,940.95,0.1,Twitter for Android,4
rajatagr,18605,180,267,47448,948,True,-1,663.05,0.85,Twitter Web Client,5
KumarSaggi,526,26583,309,112079,385,False,14.666666666666666,13.6,0.0,Twitter for iPhone,5
snrlavnish,23,2,0,22,247,False,32.333333333333336,270.4,0.05,Twitter for Android,5
ramshiv6,336,8340,41,12812,854,False,34.3,273.45,0.0,Twitter for Android,5
Gkunal86gkunal,32,56,0,112,33,False,1.0,0.35,0.05,Twitter for Android,5
evancooper10,159,7979,12,2464,678,False,1.0,377.65,0.1,Twitter Web Client,5
RamBabuBihar,408,8098,12,7205,249,False,440.3333333333333,34.75,0.0,TweetDeck,4
Anirudhgoel2,251,253,16,5518,778,False,36.53333333333333,58.65,0.0,Twitter for Android,4
PathanAsmakhan,97239,20504,318,56451,969,False,86.54545454545455,7.2,15.7,Twitter for iPhone,6
InocGeorge,61,1,0,33,25,False,-1,2.95,0.2,Twitter Web Client,5
MShravank,1585,38662,89,36293,1815,False,74.0,17.25,0.0,Twitter for Android,5
sahil19888,197,183,239,3093,104,False,21.71875,135.0,0.0,Twitter for Android,6
Anyone017,76,978,11,7780,272,False,6.0,260.6,0.05,Twitter for Android,4
i_am_divyanshu,377,3459,9,4592,685,False,24.8,695.4,0.1,Twitter for Android,5
RaghuAiyar,2047,74224,234,182923,2491,False,17.928571428571427,945.95,0.0,Twitter for iPhone,5
varhad_,108,1235,91,1968,100,False,42.54,3465.6,0.0,Twitter for Android,5
ShreySoni7,325,6515,7,5432,207,False,401.6666666666667,40.5,0.05,TweetDeck,4
Mass_Comm_Media,1037,2886,582,5198,3198,False,103.45454545454545,54.25,0.0,Twitter for Android,5
jnv_rider,125,6430,5,1306,950,False,80.47826086956522,104.55,0.1,Mobile Web (M5),4
vinay55763,237,984,16,17715,91,False,26.0,71.4,0.0,Twitter for Windows Phone,4
ramana1729,2305,28582,170,138368,3009,False,31.333333333333332,593.0,0.0,Twitter for Android,4
sumitabh007cool,133,1947,5,4146,231,False,8.0,116.95,0.55,Twitter for iPhone,5
ShivrajJebaliya,27,517,0,263,402,False,93.0,128.25,0.8,Twitter for Android,6
akhtarSiddique_,486,1402,11,14126,195,False,8.2,191.65,0.0,Twitter for Android,5
ChriPerSea,11,345,2,342,107,False,73.33333333333333,88.75,0.0,Twitter for Android,4
neelshah31790,2678,3586,76,45786,2051,False,20.375,20.9,0.25,Twitter for Android,4
AdityaZaveri,32252,18566,44,49007,2734,False,70.25,443.8,0.0,Twitter for Android,5
BansaNirmal,460,9773,52,14456,1182,False,5.75,56.45,0.1,Twitter for Android,5
usanghvi55,1318,51857,61,53026,546,False,4.0,89.5,0.0,Twitter for iPhone,4
SeemabAhmed5,1211,15180,6,4186,4856,False,1.625,0.0,0.1,Put your button on any page! ,5
iamAbhishek021,914,8323,23,16292,174,False,46.0,541.9,0.0,Twitter for Android,5
DigitalGirish,6648,21777,83,57998,950,False,68.08333333333333,13.8,1.0,Twitter for Android,5
akarimi1974,440,391,55,56528,542,False,227.33333333333334,139.65,0.0,Twitter for iPhone,4
trivedi_dhairya,3,35,0,4,43,False,-1,20.0,0.2,Twitter for Android,7
suryanraju,50,2119,4,2110,378,False,110.5,63.45,0.1,Mobile Web (M5),3
dhanikpanchal,236,7961,10,6759,131,False,442.3333333333333,28.6,0.75,TweetDeck,4
LaliteshKushwa3,1320,3286,16,12646,1572,False,69.0,43.15,0.05,Twitter for Android,5
RamMadhavFC,2458,191,1,659,1496,False,11.777777777777779,7.3,0.6,Twitter for Android,5
Expert_Rajesh,81,36,0,103,248,False,16.11764705882353,14.473684210526315,0.42105263157894735,Twitter for Android,5
Glorious_Bharat,77,63,1,158,60,False,7.904761904761905,20.3,8.95,Twitter for Android,5
VijaySinghBais2,204,1723,3,1915,292,False,21.321428571428573,4.1,0.05,Twitter for Android,5
shriniwas440,41,61,0,47,106,False,9.333333333333334,1.75,0.2,Twitter for Android,5
bjpmission4up,401,273,3,2261,271,False,53.0625,626.6,1.65,Twitter for Android,5
shreha211985,4070,9702,100,100849,862,False,40.2,3.5,0.0,Twitter for Android,5
deshbhaktt,92,51,1,562,155,False,70.61111111111111,25.15,0.0,Twitter for Android,6
IncWith1,544,1837,8,6936,262,False,87.33333333333333,58.15,0.0,Twitter for Android,5
BoughKisor,211,50025,84,64894,460,False,3.6666666666666665,27.85,0.0,Twitter for Android,5
RaajVaani,3105,18639,19,18966,1482,False,5.5,68.5,0.05,Twitter for Android,5
newbie109,187,7301,21,16680,156,False,94.25,289.45,0.15,Twitter Web Client,4
SirTrafalgarLaw,163,232,20,12274,346,False,7.0,180.65,0.0,Twitter Web Client,5
Afzza_00,593,11406,26,18999,696,False,20.5,92.8,0.1,Twitter for Android,4
kirtisanon2,500,9599,10,8146,265,False,386.0,83.5,0.0,TweetDeck,5
RajeevBanduni,228,234,279,2239,431,False,33.06896551724138,1149.25,0.05,Twitter for iPhone,6
yogesverma85gma,998,3877,11,10674,1820,False,45.75,135.35,0.0,Twitter for Android,4
IndiaNext_One,1,2,0,6,12,False,-1,0.0,0.0,Twitter Web Client,4
Gsbrar87,6,6,0,1,89,False,42.0,52.0,0.0,Twitter for Android,5
Shruti4895,1,0,0,1,20,False,-1,0.0,0.0,Mobile Web (M5),6
iarunsb,1904,19115,131,58825,684,False,0,0.0,0.0,None,5
HarshilGujarati,1072,33102,80,77462,164,False,482.73333333333335,55.85,0.45,TweetCaster for Android,4
The_Sailor_Men,314,7428,9,6350,220,False,500.45454545454544,37.25,0.0,TweetDeck,5
realaapian,378,9095,13,8922,325,False,469.8,45.9,0.15,TweetDeck,4
SumitCh64857302,144,327,4,2760,304,False,7.222222222222222,682.6,0.0,Twitter for Android,4
Sanghindian,61,138,5,1687,28,False,18.0,228.5,0.0,Twitter for Android,5
ajrajbjp,1544,1691,24,6206,135,False,69.0,36.7,4.1,Twitter for Android,5
parkashj05,32,64,0,33,250,False,-1,0.0,0.15,Twitter for Android,5
vinurajvarma,196,22,12,1850,247,False,21.4,0.35,0.1,Buffer,5
AfzaalMukhiyaji,18,678,0,701,260,False,34.0,137.35,0.15,Twitter for Android,5
Ajashutoshjha,601,44239,8,16214,432,False,192.16666666666666,169.05,0.15,Mobile Web (M2),4
yourzRajesh,73,324,5,1210,1058,False,53.611111111111114,462.25,0.05,Twitter Web Client,5
jitende09815920,315,8177,33,19726,1702,False,164.0,182.3,0.0,Twitter for iPhone,4
GetRidofDevils,648,190,19,17711,590,False,19.0,46.8,0.05,Twitter for iPhone,4
ImGabbbar,255,1056,6,1170,190,False,1.3,96.5,0.6,Twitter for Android,5
Abhishek_Mshra,8112,31,63,33998,388,True,181.0,5.25,9.2,Twitter for iPhone,4
abhishekvhp23,9363,6699,39,19744,1536,False,90.6923076923077,93.55,2.65,Twitter for Android,4
tshamsi88,14880,17512,91,79393,1068,False,5.666666666666667,63.0,3.75,Twitter for Android,4
guru9899,5263,63052,150,80458,47,False,4.875,113.75,0.05,Twitter for Android,5
Matt18611865,486,35,17,14331,610,False,1.0,960.7,0.0,Twitter for iPhone,4
vaishali_6,40,18,0,218,13,False,82.3125,38.35,1.65,Twitter for Android,5
SumitParminder,270,13072,20,12941,189,False,469.0,49.3,0.0,72_sprache,5
Ajay_Nagariya,2207,5689,13,16953,731,False,84.8,9.35,0.45,Twitter for Android,4
way2ranga,143,331,9,9704,155,False,1.0,794.6,0.05,Twitter for Android,6
ShankerPutra,612,5992,69,75373,498,False,50.333333333333336,169.9,0.0,Twitter Web Client,5
GoelAchin,766,516,16,8195,702,False,95.73333333333333,12.9,0.25,Twitter for Android,4
SudhirMudrady,804,866,9,4284,318,False,5.888888888888889,10.95,12.55,Twitter for Android,6
GamyaPatel,112,6389,8,5257,101,False,498.5,34.45,0.5,TweetDeck,4
20prince,153,2039,2,1127,799,False,3.142857142857143,377.05,0.15,Twitter for Android,5
IndiaFirst082,226,1535,5,4016,194,False,11.6,9.35,0.0,Twitter Web Client,5
Indian_Liars,515,31154,38,43079,1077,False,3.5,97.75,0.0,Twitter for Android,4
Stutitopper,525,20673,23,19912,366,False,458.0,43.5,0.0,59_stuti,4
voiceofsanjeev,101,321,8,3860,137,False,39.4,53.35,0.2,Twitter for iPhone,5
rajkshroff,5927,12227,262,346586,2029,False,215.4,68.75,0.0,Twitter for Android,3
gauravg_goyal,500,3079,9,12619,754,False,20.666666666666668,362.1,0.0,Twitter for Android,5
shrikantswamy,783,478,2,1456,326,False,-1,0.2,0.45,Twitter for Android,5
SrkRocksNRules,1499,9,1,844,61,False,8.0,0.0,0.25,dlvr.it,4
ChampakTeli,322,6501,12,5466,262,False,403.375,166.85,0.2,TweetDeck,4
keshava689,18,457,4,1984,94,False,4.6,73.95,0.0,Twitter for Android,5
lalithseetharam,206,4142,23,14316,166,False,26.5,843.25,0.0,Twitter for Android,6
manoj_sorathiya,741,2489,16,6508,459,False,336.9166666666667,35.85,0.05,Twitter for iPhone,4
kamaaaa6,29267,273604,187,448792,1846,False,59.5,59.05,0.2,Twitter Web Client,5
AAPsunilgour,960,230,4,12837,1135,False,1.0,21.55,0.0,Twitter for iPhone,5
dudi_ramnarayan,145,104,0,105,102,False,1.0,1.2,5.25,Twitter for iPhone,4
Roshnipatra_,420,8711,14,7922,244,False,297.55555555555554,30.85,0.0,TweetDeck,4
Yugvani,2124,876,40,81167,530,False,20.0,0.1,0.1,dlvr.it,4
Bhavesh99T,1723,16722,55,31044,545,False,53.416666666666664,66.0,1.8,Twitter for Android,4
susantakumari,387,8309,12,7383,257,False,243.3846153846154,41.6,0.0,TweetDeck,5
87_bansari,271,5871,13,4911,102,False,314.6666666666667,80.45,0.0,TweetDeck,5
NaikSaransh,334,6486,14,5646,255,False,425.0,52.35,0.0,TweetDeck,4
SonamIsHere,535,8828,16,7640,277,False,7.0,145.94736842105263,0.0,TweetDeck,4
hardikmaliya1,218,6248,13,5349,99,False,444.14285714285717,182.15,0.0,TweetDeck,4
RajenderMohite,414,25839,36,24937,329,False,457.25,48.35,0.4,RajenderMohite,4
R_Krishnan09,363,10437,13,9265,265,False,440.38461538461536,12.1,1.5,TweetDeck,5
Mitu55861552,1,3,0,19,31,False,4.666666666666667,56.1,0.0,Twitter for Android,5
abpnewshindi,532432,92,638,102995,68,True,65.4090909090909,8.7,20.5,Twitter Web Client,5
AshishDavid7,62,12607,7,8752,16,False,14.6,322.8,0.0,Twitter for iPhone,5
vccircle,34611,951,1338,43501,150,True,7.566666666666666,0.25,0.3,Hootsuite,5
IndiaNews24x7,6072,4,49,175140,1572,False,-1,0.3,0.25,dlvr.it,4
aapguarav,202,6783,10,5652,129,False,548.6666666666666,60.25,0.0,TweetDeck,4
AAP_Neel,235,7551,8,6514,126,False,445.0,32.7,0.2,TweetDeck,4
sushilarya2005,967,5310,8,17923,305,False,80.73333333333333,27.25,0.3,Twitter Web Client,4
viswan9,16,54,2,1782,72,False,-1,0.0,0.2,Twitter for iPad,5
Chikhlia_,221,7562,11,6269,118,False,524.7777777777778,36.7,1.75,TweetDeck,4
Deepak342010,36,1328,4,5248,291,False,10.5,432.05,0.0,Twitter for Android,5
NamoMad,51,4994,9,4412,91,False,534.3333333333334,43.55,0.0,TweetDeck,5
BajajHansal,282,9874,8,9388,145,False,434.72727272727275,29.55,0.15,TweetDeck,4
sawanpurohit,326,8503,14,7224,337,False,417.25,84.0,0.0,TweetDeck,5
kachadhari,1122,10843,72,181078,624,False,91.0,141.1,0.0,Twitter for iPad,4
mohan0917,141,5622,1,277,369,False,6.785714285714286,27.4,0.05,Twitter for Android,6
18AKGOYAL,19,8,2,5000,20,False,2.5,0.0,0.0,Twitter Web Client,4
ap4bjp,32,188,0,98,15,False,18.17391304347826,50.95,0.0,Twitter for Android,5
BJPLive,196700,19,397,95016,96,True,-1,18.0,9.6,Twitter Web Client,5
vvishal_pandit,8,406,1,116,56,False,3.0,37.5,0.4,Twitter for Android,6
VendorNaija,932,6,44,1109549,311,False,-1,0.0,0.0,dlvr.it,4
AviraBhuva,443,8382,15,7264,255,False,472.55555555555554,59.05,0.0,TweetDeck,4
viveksagrawal,653,8970,24,21802,991,False,42.0,114.65,0.2,Twitter for Android,5
JagatSinghNegi4,197,111,13,24231,50,False,-1,0.65,0.45,Twitter for Android,5
dildarsm1,9,26,0,867,27,False,12.357142857142858,91.1,0.0,Twitter for Android,4
azuitshi,1460,7145,1463,165315,1173,False,104.5,59.7,0.0,Twitter Web Client,6
gmail_mittal,183,4144,25,25337,361,False,127.33333333333333,64.5,0.0,Twitter for Android,3
sumedhasobti,69,53,3,187,83,False,40.07692307692308,1.1,0.2,Twitter for iPhone,6
KhirabdhiM,13,64,0,40,100,False,39.833333333333336,101.8,0.0,Twitter for Android,5
pshunglu,5745,365,63,7811,306,False,14.333333333333334,272.4,0.1,Twitter Web Client,4
JessieBottcher,319,0,54,122343,0,False,-1,0.0,0.0,IFTTT,3
saraswat_anju,7,105,0,23,58,False,-1,1.55,0.2,Twitter for Android,4
mrdavistony,298,8815,46,48016,317,False,1.5,33.75,0.0,Twitter for Android,4
ybraghu,82,5,3,880,32,False,18.285714285714285,199.55,0.0,Twitter for Android,5
hspartha,116,2311,15,2182,441,False,25.0,361.05,0.05,Twitter for iPhone,6
BNVijaykumar,2076,352,22,549,669,False,46.0,4.45,3.55,Twitter for iPhone,6
agrwal_akhil,3505,208053,325,146956,1607,False,19.27777777777778,15.0,0.0,Twitter for Android,5
21_tejas,218,5683,13,4821,105,False,431.9,15.8,0.65,TweetDeck,4
777Francejacque,6553,11310,122,68708,6578,False,1.4,198.25,0.1,Twitter for iPhone,4
TRUNEWS,53913,2256,791,31214,150,False,13.375,190.9,14.65,Twitter Web Client,4
jaggirm,76399,36672,62,78029,74912,False,1.0,4.35,0.65,Twitter for Android,5
lovely_Phaaji,104,20161,33,22272,154,False,213.0,93.8,0.0,Twitter for Android,4
gagan_gaur,30,235,0,209,205,False,24.083333333333332,91.2,0.15,Twitter for Android,4
I_Am_AnasKhan,403,1119,6,2620,1511,False,2.8,121.0,0.0,Twitter for Android,4
indigokores,888,107711,154,188961,615,False,67.0,129.1,0.0,Twitter for iPhone,4
seemamustafa,5805,2021,136,14075,485,False,49.03333333333333,1.95,0.4,Twitter for iPhone,4
TheCitizen_in,70248,6215,226,15103,79,True,54.885245901639344,1.55,0.5,Twitter Web Client,4
LibertyForUSA,2966,10877,61,66627,3375,False,2.3333333333333335,1298.85,0.05,Twitter Web Client,4
aishwaryverma9,14578,14904,36,8523,2329,False,97.42857142857143,36.8,0.0,Twitter for Android,5
BaaniPatel,427,8791,14,7755,251,False,311.0,107.55,0.1,TweetDeck,4
vsvadivelfca,865,546,12,3217,48,False,-1,1.35,3.05,Twitter Web Client,7
